Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
103817,"Sharpe's Enemy (Sharpe, #15)",Bernard Cornwell,"Cornwell, Bernard",,"=""0140294341""","=""9780140294347""",0,4.28,Penguin Group,Paperback,351,2001,1984,,2023/08/14,,,read,,,,1,0
328986,"Sharpe's Waterloo (Sharpe, #20)",Bernard Cornwell,"Cornwell, Bernard",,"=""0140294392""","=""9780140294392""",0,4.33,Penguin,Paperback,378,2001,1990,,2023/08/14,,,read,,,,1,0
492920,"Sharpe's Sword (Sharpe, #14)",Bernard Cornwell,"Cornwell, Bernard",,"=""0451213432""","=""9780451213433""",0,4.26,Berkley,Mass Market Paperback,320,2004,1983,,2023/08/14,,,read,,,,1,0
564547,"Sharpe's Havoc (Sharpe, #7)",Bernard Cornwell,"Cornwell, Bernard",,"=""0007120125""","=""9780007120123""",0,4.15,Harper Collins Publishers,Paperback,370,2003,2003,,2023/08/14,,,read,,,,1,0
173794,"Sharpe's Company (Sharpe, #13)",Bernard Cornwell,"Cornwell, Bernard",,"=""0451213424""","=""9780451213426""",0,4.25,Berkley,Mass Market Paperback,286,2004,1982,,2023/08/14,,,read,,,,1,0
492919,"Sharpe's Prey (Sharpe, #5)",Bernard Cornwell,"Cornwell, Bernard",,"=""""","=""""",0,4.07,Harper Collins,,261,,2000,,2023/08/14,,,read,,,,1,0
157180,"Sharpe's Fortress (Sharpe, #3)",Bernard Cornwell,"Cornwell, Bernard",,"=""0061012718""","=""9780061012716""",0,4.20,HarperTorch,Paperback,372,2005,1999,,2023/08/14,,,read,,,,1,0
57190457,"Sharpe's Assassin (Sharpe, #21)",Bernard Cornwell,"Cornwell, Bernard",,"=""0062563262""","=""9780062563262""",0,4.43,Harper,Hardcover,320,2021,2021,2023/08/14,2023/08/14,,,read,,,,1,0
28335699,"Leviathan Falls (The Expanse, #9)",James S.A. Corey,"Corey, James S.A.",,"=""0356510395""","=""9780356510392""",0,4.54,Orbit ,Hardcover,528,2022,2021,2023/08/05,2023/08/05,,,read,,,,1,0
44648962,"Tiamat's Wrath (The Expanse, #8)",James S.A. Corey,"Corey, James S.A.",,"=""0356510344""","=""9780356510347""",0,4.57,Orbit,Paperback,534,2019,2019,2023/08/01,2023/08/01,,,read,,,,1,0
36647179,"Persepolis Rising (The Expanse, #7)",James S.A. Corey,"Corey, James S.A.",Jefferson Mays,"=""""","=""""",0,4.37,Recorded Books,Audible Audio,21,2017,2017,2023/07/29,2023/07/29,,,read,,,,1,0
151908910,"How It Unfolds (The Far Reaches, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1662515723""","=""9781662515729""",0,4.01,Amazon Original Stories,Kindle Edition,38,2023,2023,,2023/07/26,to-read,to-read (#299),to-read,,,,0,0
25877663,"Babylon's Ashes (The Expanse, #6)",James S.A. Corey,"Corey, James S.A.",,"=""0356504263""","=""9780356504261""",0,4.25,Orbit,Hardcover,532,2016,2016,2023/07/26,2023/07/26,,,read,,,,1,0
22886612,"Nemesis Games (The Expanse, #5)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,4.44,Orbit,Kindle Edition,536,2015,2015,2023/07/11,2023/07/11,,,read,,,,1,0
18656030,"Cibola Burn (The Expanse, #4)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,4.22,Orbit,Hardcover,581,2014,2014,2023/07/07,2023/07/07,,,read,"Definitely not the strongest Expanse book but I still enjoyed it. If the series continues to drop off anymore I might abandon it. At the same time, if this is the worst one (as most consensus seems to indicate) it’s going to go down as one of my favorite series I’ve ever read. ",,,1,0
13707734,The Swerve: How the World Became Modern,Stephen Greenblatt,"Greenblatt, Stephen",,"=""0393343405""","=""9780393343403""",0,3.87,W. W. Norton & Company,Paperback,356,2012,2011,2023/07/03,2023/07/03,,,read,,,,1,0
304979,"The Structure and Dynamics of Networks (Princeton Studies in Complexity, 12)",Mark Newman,"Newman, Mark","Albert-László Barabási, Duncan J. Watts","=""0691113564""","=""9780691113562""",0,4.18,Princeton University Press,Hardcover,592,2006,2006,,2023/06/28,to-read,to-read (#298),to-read,,,,0,0
434436,"The Systems View of the World: A Holistic Vision for Our Time (Advances in Systems Theory, Complexity, and the Human Sciences)",Ervin Laszlo,"Laszlo, Ervin",,"=""1572730536""","=""9781572730533""",0,3.85,Hampton Pr,Paperback,103,1996,1972,,2023/06/28,to-read,to-read (#297),to-read,,,,0,0
16131032,"Abaddon's Gate (The Expanse, #3)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,4.27,Orbit,Paperback,539,2013,2013,2023/06/27,2023/06/27,,,read,,,,1,0
12591698,"Caliban's War (The Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,"=""1841499900""","=""9781841499901""",0,4.38,"Orbit/Little, Brown Book Group",Paperback,624,2012,2012,2023/06/22,2023/06/22,,,read,,,,1,0
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",0,4.30,Orbit,Paperback,592,2011,2011,2023/06/19,2023/06/19,,,read,,,,1,0
28421799,The Cybernetic Tea Shop,Meredith Katz,"Katz, Meredith",,"=""""","=""9781620047378""",0,4.04,Less Than Three Press,ebook,65,2016,2016,,2023/06/01,to-read,to-read (#296),to-read,,,,0,0
7636063,The Cybernetic Brain: Sketches of Another Future,Andrew Pickering,"Pickering, Andrew",,"=""0226667898""","=""9780226667898""",0,4.18,University of Chicago Press,Hardcover,536,2011,2010,,2023/06/01,to-read,to-read (#295),to-read,,,,0,0
5597902,Complexity: A Guided Tour,Melanie  Mitchell,"Mitchell, Melanie",,"=""0195124413""","=""9780195124415""",0,4.11,"Oxford University Press, USA",Hardcover,368,2009,2009,2023/05/22,2019/12/29,,,read,,,,1,0
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",0,4.47,Crown Publishers,Hardcover,418,2016,2016,,2023/04/25,to-read,to-read (#294),to-read,,,,0,0
31214359,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",,"=""8822820525""","=""9788822820525""",0,4.30,Sanctuary Press,Kindle Edition,608,2016,1844,2023/04/22,2016/12/13,,,read,,,,1,0
